target,pocket_id,n,mean_score,median_score,p95_score
abl1,pocket_1,2476,26.886516467126345,27.423836997235334,40.183742082770905
abl1,pocket_2,2562,25.698545916936474,26.014636117184615,37.761156723263845
abl1,pocket_3,2486,20.09172133642469,19.85111918462494,32.28255258610106
abl1,pocket_4,2563,17.249549861570156,17.21194663101691,24.643602021564313
brd4_bd1,pocket_1,2293,24.802171992039046,25.389154733296923,33.7288829219591
brd4_bd1,pocket_2,2228,6.781142646286845,6.306678650594,11.982792136963274
btk,pocket_1,2169,17.910528534558427,17.76242613512314,30.35716116526083
btk,pocket_2,2574,12.221763247398064,12.098279758850627,18.813288192070765
btk,pocket_3,2099,16.614982596745513,16.608264142911132,25.844367492752983
btk,pocket_4,1911,15.929830136792114,17.070342313092787,23.199985586000373
crbn,pocket_1,2464,13.706434400348224,14.29725503377378,21.747134295759007
crbn,pocket_2,2625,19.580753945562684,21.58651395686365,28.556886987595792
crbn,pocket_3,2729,23.116914021513725,24.180468560725373,32.235060634406715
crbn,pocket_4,2558,21.475812311193714,21.664954278680945,29.08530664469032
ggct,pocket_1,2661,23.884110112929733,25.01925710003573,31.08512419449861
ggct,pocket_2,2579,22.342556172164535,23.21552232459955,30.559541280402094
ggct,pocket_3,2756,16.813499624302654,16.739063005121544,26.416360921440194
ggct,pocket_4,2587,14.524235412824126,15.093949714367277,21.315856799541923
mdm2,pocket_1,2492,13.483790934365842,13.643841029964047,20.924346095745033
stk33,pocket_1,2677,19.60861770600226,18.85123225743872,32.23734150727015
stk33,pocket_2,2685,19.944224891485977,19.797204951255424,32.319854643905934
stk33,pocket_3,2439,16.2973537586825,14.748593766743772,31.957075464000983
vhl,pocket_1,2593,15.838373741158234,15.617139982431704,22.823917248313897
vhl,pocket_2,2532,28.9146796237312,30.79969142941672,41.210757458495046
vhl,pocket_3,2474,16.270380384926664,16.510746904255427,23.70658235096235
vhl,pocket_4,2476,14.431509469240703,14.404236399104281,21.031111587807157
