generator,n,n_pockets,balanced_accuracy_mean,balanced_accuracy_std,shuffled_balanced_accuracy_mean,delta_vs_shuffled,target
all_generators,5000,4,0.4320786155274912,0.0089018334611759,0.2619331735734446,0.1701454419540466,abl1
DiffSBDD,3077,4,0.3544099533068296,0.018609099587827,0.2546976448480022,0.0997123084588273,abl1
PocketXMol,3414,4,0.518183620785445,0.0149011912411623,0.2475590488319387,0.2706245719535062,abl1
PocketXMolAR,3647,4,0.4756894716143207,0.0214744605146747,0.2533949797850405,0.2222944918292801,abl1
all_generators,4533,2,0.8514111697565975,0.0122056535434191,0.5101122924303152,0.3412988773262823,brd4_bd1
DiffSBDD,1417,2,0.8463207176046199,0.0111830452155358,0.5044857030813157,0.3418350145233042,brd4_bd1
PocketXMol,1518,2,0.930905356823275,0.0130845737890696,0.4849199156110622,0.4459854412122128,brd4_bd1
PocketXMolAR,1598,2,0.866010566329489,0.011826087862559,0.5068830964295173,0.3591274698999717,brd4_bd1
all_generators,5000,4,0.3961889958462373,0.0109139679884126,0.2556565099931118,0.1405324858531254,btk
DiffSBDD,3119,4,0.3124972203424428,0.0172619020608675,0.2384122665193493,0.0740849538230934,btk
PocketXMol,3051,4,0.5254640377671698,0.0149801975644835,0.2516399264577356,0.2738241113094342,btk
PocketXMolAR,2998,4,0.490178248178848,0.0146809012352045,0.2497234479579616,0.2404548002208863,btk
all_generators,5000,4,0.4499681229308677,0.0204073276205374,0.2536250148042252,0.1963431081266425,crbn
DiffSBDD,3276,4,0.363158575980727,0.0063696898790178,0.2670917088532187,0.0960668671275082,crbn
PocketXMol,3482,4,0.5321956017074381,0.0188408177500246,0.244877582982728,0.2873180187247101,crbn
PocketXMolAR,3652,4,0.522125416629908,0.0194730542681532,0.2501527000562983,0.2719727165736096,crbn
all_generators,5000,4,0.4086574683642184,0.0220218955012597,0.2541394203147858,0.1545180480494326,ggct
DiffSBDD,3409,4,0.3357574072295851,0.0117709050038321,0.2478215294453979,0.0879358777841871,ggct
PocketXMol,3516,4,0.500145912860777,0.0104597616261756,0.2525108013534233,0.2476351115073537,ggct
PocketXMolAR,3667,4,0.4885750923045567,0.0163172045948225,0.2472814003892098,0.2412936919153468,ggct
all_generators,5000,3,0.4514924197532958,0.0102012047327045,0.3355843964784094,0.1159080232748863,stk33
DiffSBDD,2340,3,0.5223756640371323,0.0078757904133309,0.3394022708549783,0.1829733931821539,stk33
PocketXMol,2677,3,0.4341678808057165,0.0211191222961974,0.3283392654282347,0.1058286153774817,stk33
PocketXMolAR,2791,3,0.4637127151964911,0.0167496031576581,0.3194850876856744,0.1442276275108167,stk33
all_generators,5000,4,0.3858854829562455,0.0129979588268495,0.2529315514880388,0.1329539314682067,vhl
DiffSBDD,3139,4,0.3070590173578933,0.0183355690456682,0.2531333912352245,0.0539256261226688,vhl
PocketXMol,3386,4,0.4921280966257919,0.0068167732726667,0.2476750596893615,0.2444530369364304,vhl
PocketXMolAR,3592,4,0.4497965524896826,0.0129430146146223,0.2413325762070211,0.2084639762826615,vhl
