target,generator,count,mean,median,p95
abl1,DiffSBDD,3031,18.024334177846804,15.933707971213734,34.352595258324214
abl1,PocketXMol,3411,24.587935681125956,23.72412512505194,36.49961992636311
abl1,PocketXMolAR,3645,24.16134415582383,22.70788840455716,37.303866844489384
bcl2,DiffSBDD,3203,11.910865355758496,10.70918166093884,24.19676223165642
bcl2,PocketXMol,3260,14.074668647256521,13.47461713009508,21.664569050990497
bcl2,PocketXMolAR,3602,14.962779281808425,14.520547537705292,22.778663329304653
brd4_bd1,DiffSBDD,1416,14.667907564091596,14.452161241557407,28.929864981137268
brd4_bd1,PocketXMol,1512,16.50719201889417,11.31619899592547,33.391189991468735
brd4_bd1,PocketXMolAR,1593,16.479055084966063,12.55738481700668,31.438117641919895
btk,DiffSBDD,3071,12.146838982846381,10.369769854480856,23.911609904352936
btk,PocketXMol,2880,17.17292840349788,16.781644587094995,25.8451499877129
btk,PocketXMolAR,2802,17.43844844177133,16.892006200372503,27.41488137855637
cdk2,DiffSBDD,2847,20.922538132047837,19.880285400335428,36.83728478266014
cdk2,PocketXMol,3425,30.905764051423596,29.917516377678947,45.03025480267463
cdk2,PocketXMolAR,3620,30.688389340213742,29.400629914301405,46.975074997169116
crbn,DiffSBDD,3262,13.945421308153827,12.30694248217214,27.661710109141026
crbn,PocketXMol,3468,22.127063377057222,22.456301784576738,30.254798355698085
crbn,PocketXMolAR,3646,22.206993863815775,22.33061830485002,30.065463264688773
ggct,DiffSBDD,3402,16.549418778589725,15.263324036189445,30.146794732860126
ggct,PocketXMol,3514,20.829844324836042,20.49827393844303,29.74414903836112
ggct,PocketXMolAR,3667,20.614146635897566,20.163931779214003,29.234270240628668
kras,DiffSBDD,1414,14.216890470991597,14.824005437806239,26.42831212440137
kras,PocketXMol,1533,17.321571162634807,13.201147659930998,33.134071013671
kras,PocketXMolAR,1616,17.445613822007264,18.31175945945212,31.691655820876157
mdm2,DiffSBDD,796,10.839816219675535,9.764231117467496,20.56322754509892
mdm2,PocketXMol,821,13.900824444493875,13.805496280767178,20.094988700915856
mdm2,PocketXMolAR,875,15.497755918455402,15.308016105562322,21.564983831379166
stk33,DiffSBDD,2335,17.417785383297545,15.126089209850484,35.21485917485257
stk33,PocketXMol,2676,19.491907277426357,18.511177437041205,31.0266676103885
stk33,PocketXMolAR,2790,18.98239659700424,17.95217405962262,30.149863691690754
vhl,DiffSBDD,3123,15.820161581312602,13.285068492290588,30.719879621434597
vhl,PocketXMol,3371,20.400779288903173,17.308239343958505,38.51977289112477
vhl,PocketXMolAR,3581,20.13091841243435,17.851081215436007,37.88844409555003
