target,generator,n_top,n_total,fraction_of_top,within_gen_rate,top_k
abl1,DiffSBDD,103,3031,0.20396039603960395,0.03398218409765754,505
abl1,PocketXMol,176,3411,0.3485148514851485,0.0515977719143946,505
abl1,PocketXMolAR,226,3645,0.44752475247524753,0.062002743484224965,505
bcl2,DiffSBDD,218,3203,0.43253968253968256,0.06806119263190759,504
bcl2,PocketXMol,99,3260,0.19642857142857142,0.030368098159509204,504
bcl2,PocketXMolAR,187,3602,0.37103174603174605,0.051915602443087176,504
brd4_bd1,DiffSBDD,26,1416,0.1145374449339207,0.018361581920903956,227
brd4_bd1,PocketXMol,125,1512,0.5506607929515418,0.08267195767195767,227
brd4_bd1,PocketXMolAR,76,1593,0.33480176211453744,0.04770872567482737,227
btk,DiffSBDD,100,3071,0.228310502283105,0.0325626831650928,438
btk,PocketXMol,152,2880,0.3470319634703196,0.05277777777777778,438
btk,PocketXMolAR,186,2802,0.4246575342465753,0.06638115631691649,438
cdk2,DiffSBDD,38,2847,0.07676767676767676,0.013347383210396909,495
cdk2,PocketXMol,195,3425,0.3939393939393939,0.05693430656934306,495
cdk2,PocketXMolAR,262,3620,0.5292929292929293,0.07237569060773481,495
crbn,DiffSBDD,106,3262,0.20423892100192678,0.03249540159411404,519
crbn,PocketXMol,214,3468,0.4123314065510597,0.06170703575547866,519
crbn,PocketXMolAR,199,3646,0.3834296724470135,0.05458036204059243,519
ggct,DiffSBDD,205,3402,0.3867924528301887,0.06025867136978248,530
ggct,PocketXMol,182,3514,0.3433962264150943,0.05179282868525897,530
ggct,PocketXMolAR,143,3667,0.269811320754717,0.0389964548677393,530
kras,DiffSBDD,18,1414,0.07860262008733625,0.01272984441301273,229
kras,PocketXMol,129,1533,0.5633187772925764,0.08414872798434442,229
kras,PocketXMolAR,82,1616,0.35807860262008734,0.050742574257425746,229
mdm2,DiffSBDD,35,796,0.28,0.04396984924623116,125
mdm2,PocketXMol,25,821,0.2,0.030450669914738125,125
mdm2,PocketXMolAR,65,875,0.52,0.07428571428571429,125
stk33,DiffSBDD,184,2335,0.47058823529411764,0.07880085653104925,391
stk33,PocketXMol,109,2676,0.27877237851662406,0.040732436472346784,391
stk33,PocketXMolAR,98,2790,0.2506393861892583,0.03512544802867384,391
vhl,DiffSBDD,53,3123,0.10515873015873016,0.01697086135126481,504
vhl,PocketXMol,240,3371,0.47619047619047616,0.07119549095223969,504
vhl,PocketXMolAR,211,3581,0.41865079365079366,0.05892208880201061,504
